trial,filters,conv_layers,dense_units,dropout,batch_norm,optimizer,lr,accuracy,precision,recall,f1_score,weighted_score,flattening_layers
128,32,3,512,0.59,True,adam,0.0005,0.942469,0.943618,0.942469,0.942355,0.789851,GAP2D
129,32,2,512,0.39,True,rmsprop,0.0005,0.862469,0.864707,0.862469,0.86097,0.553789,GAP2D
130,32,3,128,0.52,True,sgd,0.005,0.86716,0.865479,0.86716,0.865259,0.563121,GAP2D
131,32,3,512,0.58,False,rmsprop,0.001,0.882716,0.883979,0.882716,0.882374,0.607767,GAP2D
132,64,3,256,0.37,False,sgd,0.001,0.655556,0.653506,0.655556,0.644818,0.181095,GAP2D
133,64,3,128,0.48,False,sgd,0.001,0.681728,0.676201,0.681728,0.67237,0.211304,GAP2D
134,64,4,512,0.43,False,sgd,0.0005,0.648642,0.643821,0.648642,0.642583,0.174062,GAP2D
135,64,4,512,0.55,True,sgd,0.0005,0.864691,0.865689,0.864691,0.86311,0.558663,GAP2D
136,64,3,512,0.49,False,rmsprop,0.0005,0.854074,0.865817,0.854074,0.855105,0.540053,GAP2D
137,64,3,128,0.46,True,rmsprop,0.0005,0.95284,0.952929,0.95284,0.952639,0.824192,GAP2D
138,32,4,512,0.46,False,adam,0.001,0.896543,0.896959,0.896543,0.895918,0.645927,GAP2D
139,32,2,128,0.44,False,rmsprop,0.005,0.805926,0.804121,0.805926,0.802022,0.418888,GAP2D
140,32,3,256,0.31,True,rmsprop,0.0005,0.941728,0.941967,0.941728,0.941572,0.786576,GAP2D
141,32,4,128,0.43,False,sgd,0.001,0.719753,0.71501,0.719753,0.715743,0.265116,GAP2D
142,64,3,256,0.59,True,rmsprop,0.0001,0.944444,0.944842,0.944444,0.9443,0.795833,GAP2D
143,32,3,256,0.36,True,rmsprop,0.001,0.940741,0.9413,0.940741,0.940586,0.78355,GAP2D
144,32,4,128,0.41,False,sgd,0.0005,0.65679,0.647775,0.65679,0.648117,0.181105,GAP2D
145,32,3,128,0.59,True,adam,0.001,0.928889,0.930105,0.928889,0.928551,0.745187,GAP2D
146,64,2,256,0.31,False,adam,0.001,0.786173,0.788088,0.786173,0.78383,0.381797,GAP2D
147,64,3,128,0.32,True,adam,0.001,0.960247,0.960594,0.960247,0.960196,0.850483,GAP2D
148,64,4,512,0.49,True,sgd,0.001,0.899259,0.902117,0.899259,0.898784,0.655674,GAP2D
149,32,4,512,0.55,False,adam,0.0001,0.732346,0.743973,0.732346,0.733799,0.292797,GAP2D
150,64,3,128,0.56,True,rmsprop,0.0001,0.9,0.907723,0.9,0.899779,0.661568,GAP2D
151,32,3,128,0.49,False,rmsprop,0.0001,0.615802,0.61865,0.615802,0.608893,0.142846,GAP2D
152,64,2,256,0.46,True,rmsprop,0.005,0.766914,0.783782,0.766914,0.758308,0.34957,GAP2D
153,32,4,128,0.46,True,adam,0.0001,0.905185,0.909265,0.905185,0.904517,0.673879,GAP2D
154,32,2,128,0.39,False,adam,0.001,0.717284,0.714423,0.717284,0.711933,0.261684,GAP2D
155,32,3,256,0.52,False,adam,0.001,0.816296,0.812652,0.816296,0.812836,0.440152,GAP2D
156,64,2,512,0.48,False,adam,0.005,0.805679,0.79878,0.805679,0.798507,0.414028,GAP2D
157,64,4,256,0.53,True,sgd,0.0001,0.80642,0.809172,0.80642,0.803872,0.423009,GAP2D
158,32,2,128,0.4,False,rmsprop,0.0001,0.566173,0.556111,0.566173,0.55118,0.098255,GAP2D
159,32,2,128,0.48,True,adam,0.005,0.872593,0.873718,0.872593,0.870782,0.5793,GAP2D
160,64,2,512,0.41,False,rmsprop,0.005,0.817531,0.815693,0.817531,0.816041,0.444884,GAP2D
